,name,year,song_name,performed_by
0,The Shawshank Redemption,1994,If I Didn't Care ,The Ink Spots 
1,The Shawshank Redemption,1994,Duettino - Sull'aria ,Edith Mathis (uncredited) and Gundula Janowitz (uncredited) Chor und Orchester der Deutschen Oper Berlin 
2,The Shawshank Redemption,1994,Put The Blame On Mame ,
3,The Shawshank Redemption,1994,Lovesick Blues ,Hank Williams 
4,The Shawshank Redemption,1994,Willie and The Hand Jive ,
5,The Shawshank Redemption,1994,A Mighty Fortress Is Our God ,Bob Gunton
6,The Godfather,1972,Mall Wedding Sequence ,
7,The Godfather,1972,I Have But One Heart ,Al Martino (uncredited)
8,The Godfather,1972,Luna mezz' 'o mare ,Morgana King (uncredited)
9,The Godfather,1972,Manhattan Serenade ,Tommy Dorsey & His Orchestra (uncredited)
10,The Godfather,1972,Have Yourself a Merry Little Christmas ,Al Martino (uncredited)
11,The Godfather,1972,Santa Claus Is Coming To Town ,
12,The Godfather,1972,The Bells of St. Mary's ,
13,The Godfather,1972,All Of My Life ,
14,The Godfather,1972,Mona Lisa ,
15,The Godfather,1972,"Passacaglia and Fugue in C minor, BWV 582 ",
16,The Godfather,1972,Non so più ,
17,The Godfather,1972,Brindisi (Libiamo ne' lieti calici) ,
18,The Godfather,1972,This Loneliness ,
19,The Godfather,1972,For He's a Jolly Good Fellow ,
20,The Godfather,1972,Antico Canto Siciliano ,
21,The Godfather,1972,Solid Potato Salad ,
22,The Dark Knight,2008,Balmoral ,The Pipes and Drums of the Chicago Police Department
23,The Dark Knight,2008,Scatterin' Monkey ,Boom Boom Satellites 
24,The Dark Knight,2008,4 A Moment of Silence ,Boom Boom Satellites 
25,The Dark Knight,2008,"Andante from String Quartet in a minor D. 804, 'Rosamunde' ",
26,The Godfather: Part II,1974,Senza Mamma ,Livio Giorgi
27,The Godfather: Part II,1974,Napule Ve Salute ,Livio Giorgi
28,The Godfather: Part II,1974,Mr. Wonderful ,
29,The Godfather: Part II,1974,Heart and Soul ,
30,The Godfather: Part II,1974,Guantanamera ,
31,The Godfather: Part II,1974,The Star-Spangled Banner ,
32,The Godfather: Part II,1974,For He's a Jolly Good Fellow ,
33,The Godfather: Part II,1974,Pop Goes the Weasel ,
34,The Godfather: Part II,1974,U Sciccareddu Sicilianu ,
35,12 Angry Men,1957,Dance of the Cuckoos ,
36,Schindler's List,1993,"Mamatschi (Mommy, Buy Me a Pony) ",Mimi Thoma 
37,Schindler's List,1993,God Bless The Child ,Billie Holiday 
38,Schindler's List,1993,La Capricieuse Opus 17 ,Itzhak Perlman on Violin and Sam Sanders on Piano 
39,Schindler's List,1993,Die Holzauktion ,Rudi Scherfling With the Egon Kaiser Orchestra 
40,Schindler's List,1993,Gute Nacht Mutter ,Wilhelm Strienz and FFB Orchestra 
41,Schindler's List,1993,Oyf 'n Pripetshok ,The Li-Ron Herzeliya Children's Choir Tel-Aviv 
42,Schindler's List,1993,Yeroushalaim Shel Zahav ,The Ramat Gan Chamber Choir Tel-Aviv 
43,Schindler's List,1993,Por Una Cabeza ,
44,Schindler's List,1993,"Meine Lippen, Sie Küssen So Heiss ",
45,Schindler's List,1993,To Ostatnia Niedziela ,Jacek Wójcicki
46,Schindler's List,1993,English Suite No.2 in A Minor ,Johann Sebastian Bach
47,Schindler's List,1993,Mein Vater War Ein Wandersmann ,Friedrich-Wilhelm Möller
48,Schindler's List,1993,Auf Der Heide Blueht Ein Kleines Bluemelein ,Herms Niel
49,Schindler's List,1993,Szomorú Vasárnap ,Rezsö Seress
50,Schindler's List,1993,Sus Ojos Se Cerraron ,
51,Schindler's List,1993,Milosc ci wszystko wybaczy ,Hanka Ordonówna
52,The Lord of the Rings: The Return of the King,2003,Into the West ,Annie Lennox 
53,The Lord of the Rings: The Return of the King,2003,The Green Dragon ,Billy Boyd and Dominic Monaghan 
54,The Lord of the Rings: The Return of the King,2003,The Edge of Night ,Billy Boyd 
55,The Lord of the Rings: The Return of the King,2003,Aragorn's Coronation ,Viggo Mortensen
56,The Lord of the Rings: The Return of the King,2003,The House of Healing ,Liv Tyler
57,The Lord of the Rings: The Return of the King,2003,A Shadow Lies Between Us ,Liv Tyler
58,Pulp Fiction,1994,Misirlou ,Dick Dale & His Del-Tones 
59,Pulp Fiction,1994,It's Country ,
60,Pulp Fiction,1994,Jungle Boogie ,Kool & The Gang 
61,Pulp Fiction,1994,Strawberry Letter #23 ,Brothers Johnson 
62,Pulp Fiction,1994,Bustin' Surfboards ,The Tornadoes 
63,Pulp Fiction,1994,Let's Stay Together ,Al Green 
64,Pulp Fiction,1994,Son Of A Preacher Man ,Dusty Springfield 
65,Pulp Fiction,1994,Bullwinkle Part II ,The Centurians 
66,Pulp Fiction,1994,Waitin' In School ,Gary Shorelle 
67,Pulp Fiction,1994,Lonesome Town ,Ricky Nelson 
68,Pulp Fiction,1994,Ace Of Spades ,Link Wray 
69,Pulp Fiction,1994,Rumble ,Link Wray And His Raymen 
70,Pulp Fiction,1994,Since I First Met You ,The Robins 
71,Pulp Fiction,1994,Teenagers In Love ,Woody Thorne 
72,Pulp Fiction,1994,You Never Can Tell ,Chuck Berry 
73,Pulp Fiction,1994,"Girl, You'll Be A Woman Soon ",Urge Overkill 
74,Pulp Fiction,1994,If Love Is A Red Dress (Hang Me In Rags) ,Maria McKee 
75,Pulp Fiction,1994,Flowers On The Wall ,The Statler Brothers 
76,Pulp Fiction,1994,Out Of Limits ,The Marketts 
77,Pulp Fiction,1994,Surf Rider ,The Lively Ones 
78,Pulp Fiction,1994,Comanche ,The Revels 
79,Pulp Fiction,1994,"Ole, Ole ",
80,The Lord of the Rings: The Fellowship of the Ring,2001,Flaming Red Hair ,
81,The Lord of the Rings: The Fellowship of the Ring,2001,The Road Goes Ever On ,Ian McKellen and Ian Holm
82,The Lord of the Rings: The Fellowship of the Ring,2001,In Dreams ,Edward Ross 
83,The Lord of the Rings: The Fellowship of the Ring,2001,May It Be ,Enya Played during the end credits
84,The Lord of the Rings: The Fellowship of the Ring,2001,Aníron ,
85,The Lord of the Rings: The Fellowship of the Ring,2001,To The Bottle I Go ,"Billy Boyd, Dominic Monaghan and Elijah Wood"
86,The Lord of the Rings: The Fellowship of the Ring,2001,The Song of Beren and Luthien ,Viggo Mortensen
87,"The Good, the Bad and the Ugly",1966,The Story Of A Soldier ,
88,"The Good, the Bad and the Ugly",1966,The Ecstasy of Gold ,
89,Forrest Gump,1994,Lovesick Blues ,Hank Williams 
90,Forrest Gump,1994,Hound Dog ,Elvis Presley (uncredited)
91,Forrest Gump,1994,Rebel Rouser ,Duane Eddy 
92,Forrest Gump,1994,(I Don't Know Why) But I Do ,Clarence 'Frogman' Henry 
93,Forrest Gump,1994,Walk Right In ,The Rooftop Singers 
94,Forrest Gump,1994,Sugar Shack ,Jimmy Gilmer and The Fireballs 
95,Forrest Gump,1994,Paramount Newsreel Music ,
96,Forrest Gump,1994,Camelot ,
97,Forrest Gump,1994,Pomp and Circumstance ,Dresdner Philharmonie 
98,Forrest Gump,1994,Hanky Panky ,Tommy James & The Shondells 
99,Forrest Gump,1994,Blowin' in the Wind ,
100,Forrest Gump,1994,Land of 1000 Dances ,Wilson Pickett 
101,Forrest Gump,1994,Fortunate Son ,Creedence Clearwater Revival 
102,Forrest Gump,1994,I Can't Help Myself (Sugar Pie Honey Bunch) ,The Four Tops 
103,Forrest Gump,1994,Respect ,Aretha Franklin 
104,Forrest Gump,1994,Rainy Day Women #12 & 35 ,
105,Forrest Gump,1994,Sloop John B ,The Beach Boys 
106,Forrest Gump,1994,All Along The Watchtower ,The Jimi Hendrix Experience 
107,Forrest Gump,1994,Soul Kitchen ,The Doors 
108,Forrest Gump,1994,California Dreamin' ,The Mamas and the Papas 
109,Forrest Gump,1994,For What It's Worth ,Buffalo Springfield 
