name,year,song_name,performed_by
The Shawshank Redemption,1994,If I Didn't Care,The Ink Spots
The Shawshank Redemption,1994,Duettino - Sull'aria,Edith Mathis (uncredited) and Gundula Janowitz (uncredited) Chor und Orchester der Deutschen Oper Berlin
The Shawshank Redemption,1994,Put The Blame On Mame,
The Shawshank Redemption,1994,Lovesick Blues,Hank Williams
The Shawshank Redemption,1994,Willie and The Hand Jive,
The Shawshank Redemption,1994,A Mighty Fortress Is Our God,Bob Gunton
The Godfather,1972,Mall Wedding Sequence,
The Godfather,1972,I Have But One Heart,Al Martino (uncredited)
The Godfather,1972,Luna mezz' 'o mare,Morgana King (uncredited)
The Godfather,1972,Manhattan Serenade,Tommy Dorsey & His Orchestra (uncredited)
The Godfather,1972,Have Yourself a Merry Little Christmas,Al Martino (uncredited)
The Godfather,1972,Santa Claus Is Coming To Town,
The Godfather,1972,The Bells of St. Mary's,
The Godfather,1972,All Of My Life,
The Godfather,1972,Mona Lisa,
The Godfather,1972,"Passacaglia and Fugue in C minor, BWV 582",
The Godfather,1972,Non so più,
The Godfather,1972,Brindisi (Libiamo ne' lieti calici),
The Godfather,1972,This Loneliness,
The Godfather,1972,For He's a Jolly Good Fellow,
The Godfather,1972,Antico Canto Siciliano,
The Godfather,1972,Solid Potato Salad,
The Dark Knight,2008,Balmoral,The Pipes and Drums of the Chicago Police Department
The Dark Knight,2008,Scatterin' Monkey,Boom Boom Satellites
The Dark Knight,2008,4 A Moment of Silence,Boom Boom Satellites
The Dark Knight,2008,"Andante from String Quartet in a minor D. 804, 'Rosamunde'",
The Godfather: Part II,1974,Senza Mamma,Livio Giorgi
The Godfather: Part II,1974,Napule Ve Salute,Livio Giorgi
The Godfather: Part II,1974,Mr. Wonderful,
The Godfather: Part II,1974,Heart and Soul,
The Godfather: Part II,1974,Guantanamera,
The Godfather: Part II,1974,The Star-Spangled Banner,
The Godfather: Part II,1974,For He's a Jolly Good Fellow,
The Godfather: Part II,1974,Pop Goes the Weasel,
The Godfather: Part II,1974,U Sciccareddu Sicilianu,
12 Angry Men,1957,Dance of the Cuckoos,
